µ¥´Ê		ÆµÂÊ
desgrassins		10
ready		10
butter		10
precious		10
large		10
vintage		10
tone		10
passion		10
cloth		10
clear		10
foot		10
cruel		10
s		10
tongue		10
weather		10
ask		10
calm		10
doing		10
shook		10
unknown		10
affair		10
thick		10
remember		10
understood		9
worn		9
didn't		9
bear		9
pleased		9
corner		9
v		9
ruined		9
followed		9
yard		9
dandy		9
allowed		9
except		9
believe		9
pure		9
judge		9
merchant		9
sun		9
hard		9
moved		9
fear		9
mistress		9
forward		9
chimney		9
second		9
stay		9
bertelliere		9
angers		9
servant		9
kiss		9
conversation		9
ignorant		9
used		9
attention		9
suddenly		9
nanon's		9
provinces		9
heaven		9
charles's		9
terrible		9
sense		9
courage		9
object		9
takes		9
lady		9
thank		9
mass		9
weight		9
hopes		9
continued		9
truly		9
kill		9
sixty		9
courts		9
arm		9
explain		9
uttered		9
loves		9
seeing		9
commercial		9
deep		9
linen		9
ofher		9
event		9
wealth		9
forgotten		9
itself		9
passed		9
nevertheless		9
journey		9
meet		9
bad		9
seem		9
sign		9
begin		9
nantes		9
soft		9
brother's		9
grower		9
common		9
trouble		9
hair		9
costs		9
gift		9
gown		8
respect		8
placed		8
indeed		8
grandets		8
deal		8
chair		8
formerly		8
tender		8
loto		8
office		8
laid		8
covered		8
f		8
spring		8
dozen		8
nobility		8
we'll		8
christian		8
price		8
lived		8
receive		8
fresh		8
appearance		8
carry		8
daily		8
quite		8
avarice		8
fete		8
floor		8
obtain		8
replied		8
sleep		8
gentle		8
smile		8
onthe		8
late		8
third		8
departure		8
showed		8
minds		8
heavy		8
exchange		8
dressed		8
offered		8
creditor		8
yesterday		8
franc		8
key		8
low		8
knowing		8
comes		8
weeping		8
enormous		8
suppose		8
hearts		8
loire		8
possible		8
secretly		8
gloves		8
farmers		8
yours		8
customs		8
account		8
past		8
anjou		8
income		8
shut		8
wen		8
knife		8
devil		8
conduct		8
honest		8
real		8
stairs		8
grown		8
fallen		8
beginning		8
memory		8
lighted		8
entrance		8
taste		8
obliged		8
frightened		8
history		8
talked		8
sitting		8
fate		8
joys		8
deed		8
gathered		8
birth		8
owe		8
lips		7
horses		7
spend		7
forever		7
hat		7
giving		7
possessed		7
company		7
grace		7
natural		7
bench		7
strength		7
spread		7
sit		7
eggs		7
leaving		7
seat		7
perfectly		7
presence		7
gilt		7
claims		7
beg		7
thehouse		7
knock		7
interrupting		7
girls		7
holy		7
entering		7
emotion		7
permit		7
confidence		7
youth		7
meeting		7
eleven		7
eighty		7
vineyards		7
cruchotines		7
pain		7
occasion		7
carriage		7
fail		7
noise		7
free		7
echoed		7
sad		7
gentleman		7
society		7
length		7
wished		7
rights		7
arrondissement		7
i've		7
doors		7
ground		7
travelling		7
birthday		7
trees		7
faces		7
laughing		7
title		7
begun		7
actions		7
public		7
souls		7
talking		7
inventory		7
success		7
born		7
tree		7
announced		7
according		7
carefully		7
education		7
capital		7
marquis		7
sake		7
person		7
failed		7
l'abbe		7
eaten		7
serious		7
figure		7
madamegrandet		7
influence		7
penny		7
carrying		7
folly		6
orders		6
absence		6
intentions		6
pardon		6
bankrupt		6
smiled		6
coldly		6
lend		6
getting		6
bid		6
keeping		6
sentence		6
fashion		6
he's		6
i'd		6
accustomed		6
loud		6
killed		6
moments		6
midday		6
master's		6
cheeks		6
sound		6
presently		6
ease		6
landing		6
seized		6
keeper		6
r		6
offer		6
frippe		6
midst		6
finding		6
movement		6
doesn't		6
looks		6
andthen		6
stone		6
total		6
fancy		6
jewels		6
glances		6
nails		6
kindness		6
forced		6
cause		6
haven't		6
grassinists		6
declared		6
dark		6
opening		6
further		6
slowly		6
fast		6
tired		6
lying		6
spoke		6
neck		6
w		6
bargain		6
fool		6
darling		6
quiet		6
accounts		6
misers		6
caused		6
destiny		6
fully		6
special		6
knees		6
remark		6
former		6
loose		6
bore		6
simplicity		6
prey		6
dying		6
settled		6
diligence		6
art		6
holding		6
pious		6
sweat		6
chairs		6
fastened		6
appointed		6
girl's		6
sole		6
married		6
lately		6
amount		6
sublime		6
arrival		6
small		6
generous		6
sooner		6
chin		6
impossible		6
says		6
liquidate		6
arrived		6
possessions		6
top		6
grapes		6
thousandfrancs		6
adieu		6
settle		6
luxury		6
henceforth		6
prayers		6
render		6
lead		6
stopped		6
trembled		6
galette		6
forehead		6
inher		6
possess		6
shown		6
easy		6
required		6
ninety		6
important		6
fifteen		6
coins		6
bit		6
dwelling		6
conscience		6
won		6
weep		6
thepresident		6
million		6
built		6
else		6
guard		6
livres		6
caught		6
ceased		6
proper		6
dry		6
please		6
vine		6
horrible		6
season		6
character		6
presented		6
taxes		6
curiosity		6
front		6
sort		6
laws		6
etc		6
lives		6
kisses		6
frightful		6
big		6
double		6
whether		6
speech		6
capable		6
write		6
worthy		6
following		6
innocent		6
turn		6
appeared		6
try		6
obey		6
duty		6
accept		6
expected		6
parish		6
draw		6
makes		6
depths		6
force		6
bearing		6
daughter's		5
gently		5
square		5
inhabitants		5
counted		5
meant		5
heavens		5
suitable		5
spirit		5
washed		5
softly		5
hide		5
copper		5
division		5
invest		5
illness		5
forth		5
integrity		5
epoch		5
faithful		5
complete		5
lands		5
sorrows		5
locked		5
delighted		5
gazed		5
moreover		5
wore		5
dutch		5
standing		5
across		5
scarcely		5
warmth		5
honorable		5
waistcoat		5
likely		5
rubbing		5
enabled		5
learned		5
closed		5
thefirst		5
she's		5
disappeared		5
boy		5
sha'n't		5
listened		5
troubles		5
really		5
remorse		5
letters		5
hermother		5
stop		5
empty		5
fortunes		5
angelic		5
flour		5
snuff		5
charge		5
custom		5
hungry		5
died		5
coin		5
ship		5
angle		5
finished		5
st		5
situation		5
truth		5
claim		5
reason		5
drawing		5
grave		5
picture		5
youwill		5
toilet		5
chateau		5
useful		5
belief		5
miser's		5
arranged		5
possession		5
armchair		5
instead		5
slight		5
gratitude		5
leather		5
earth		5
portraits		5
endowed		5
respected		5
leaves		5
solemn		5
outfit		5
tenderness		5
notice		5
countenance		5
excuse		5
fixed		5
buttons		5
legal		5
exclamation		5
misery		5
lamb		5
drawn		5
contained		5
brown		5
admiration		5
finest		5
leisure		5
cream		5
solitary		5
falling		5
tobe		5
note		5
due		5
excited		5
feared		5
mayor		5
remarkable		5
anger		5
seventeen		5
fetch		5
wax		5
manage		5
trying		5
intothe		5
boots		5
idea		5
ofhis		5
mingled		5
misfortune		5
shone		5
heads		5
point		5
needed		5
lines		5
yielded		5
farms		5
item		5
finally		5
lad		5
deceive		5
revealed		5
touch		5
slept		5
places		5
castors		5
solid		5
neighbor		5
proudly		5
news		5
tours		5
language		5
whichthe		5
shoulders		5
falls		5
upper		5
intended		5
remain		5
rafters		5
sweet		5
results		5
nail		5
poplars		5
unhappy		5
toher		5
sees		5
kissing		5
repeated		5
unless		5
determined		5
moral		5
worldly		5
sin		5
sentiments		5
composure		5
amazement		5
service		5
raised		5
childhood		5
several		5
joined		5
mademoisellegrandet		5
atthe		5
existence		5
beings		5
paying		5
stout		5
whispered		5
coach		5
walk		5
community		5
guessed		5
withthe		5
bestowed		5
rested		5
supposed		5
actual		5
accompanied		5
happen		5
merchandise		5
expenses		5
downstairs		5
jew		5
delight		5
species		5
thecruchots		5
wh		5
vines		5
napoleon		5
possibly		5
secrets		5
domestic		5
wily		5
sought		5
fromthe		5
huge		5
bless		5
ridicule		5
employed		5
hung		5
skin		5
belong		5
sleeves		5
liquidators		5
remembered		5
resolved		5
pride		5
satisfied		5
act		5
heir		5
sorrow		5
manner		5
condemned		5
loss		5
tones		5
sprang		5
state		5
image		5
evidently		5
importance		5
sentiment		5
plain		5
led		5
pray		4
departed		4
circumstances		4
roof		4
matters		4
offering		4
gloomy		4
attend		4
hercousin		4
trick		4
uncle's		4
inspired		4
despair		4
parted		4
hundredthousand		4
drawer		4
term		4
angry		4
pot		4
chance		4
ate		4
intimate		4
wept		4
exchanged		4
started		4
cheque		4
warm		4
thecreditors		4
wasted		4
fling		4
letting		4
constant		4
velvet		4
thread		4
surprised		4
crossed		4
legally		4
ruins		4
slavery		4
worm		4
patience		4
everybody		4
forgive		4
flower		4
wines		4
aloud		4
enterprise		4
elegant		4
choose		4
merchants		4
twisted		4
gets		4
current		4
ramparts		4
year's		4
passing		4
add		4
sweetness		4
handsome		4
dared		4
wound		4
constantly		4
thrust		4
thesame		4
parts		4
met		4
devotion		4
sacred		4
clasped		4
child's		4
curious		4
watching		4
preserve		4
cards		4
papa		4
anguish		4
belonged		4
interrupted		4
windows		4
surely		4
fill		4
gracefully		4
line		4
distance		4
investment		4
porter		4
here's		4
protected		4
ended		4
thoroughly		4
slightest		4
bathed		4
rotten		4
personal		4
thestaircase		4
feeble		4
amazed		4
partridge		4
plunged		4
stupid		4
absorbed		4
purpose		4
moment's		4
attic		4
dignity		4
colors		4
puncheons		4
tear		4
fish		4
knocker		4
speaking		4
families		4
monsieurgrandet		4
caressing		4
mute		4
theheart		4
wooden		4
west		4
estimated		4
players		4
wholly		4
appear		4
brilliant		4
pate		4
hidden		4
becomes		4
fatal		4
inspite		4
lord		4
crushed		4
golden		4
saucer		4
growing		4
hisuncle		4
cases		4
unfortunate		4
watched		4
drank		4
rendered		4
writing		4
hush		4
monthly		4
settlement		4
bars		4
weigh		4
eating		4
perfect		4
occupied		4
proud		4
passions		4
deceased		4
remarked		4
clock		4
promised		4
chill		4
mercy		4
lover		4
goes		4
bank		4
invited		4
rare		4
freshness		4
sou		4
insaumur		4
allow		4
je		4
ratafia		4
ways		4
kindly		4
bergerin		4
stuttering		4
celestial		4
farewell		4
examine		4
result		4
preparing		4
laughter		4
provisions		4
roughly		4
cane		4
relations		4
morocco		4
sarcastic		4
altar		4
french		4
tried		4
profits		4
mysterious		4
grand		4
astonishment		4
mark		4
prevented		4
branches		4
sheet		4
questions		4
charm		4
reflected		4
ocean		4
masses		4
ourselves		4
lively		4
owed		4
mustn't		4
theatre		4
struggle		4
follow		4
armed		4
lessons		4
becoming		4
derived		4
worked		4
forthe		4
tables		4
ring		4
destined		4
civil		4
condition		4
x		4
general		4
commerce		4
sadness		4
pass		4
exquisite		4
names		4
hers		4
ambition		4
vast		4
wrung		4
blush		4
written		4
collar		4
sufficient		4
autumn		4
mysteries		4
relation		4
aspect		4
guess		4
goodness		4
buttoned		4
striking		4
credit		4
harmony		4
breathing		4
agreed		4
reading		4
depth		4
casks		4
wanted		4
refuse		4
drama		4
joyous		4
card		4
owing		4
pause		4
theday		4
seventy		4
spot		4
sudden		4
thanks		4
hisdaughter		4
owned		4
rang		4
particular		4
upstairs		4
difficulty		4
guilty		4
candles		4
whatever		4
purity		4
bringing		4
walnut		4
youthful		4
wants		4
wait		4
hiding		4
celebrated		4
holes		4
signed		4
attentions		4
ours		4
glad		4
wake		4
variety		4
brow		4
ihave		4
rupees		4
rays		4
burst		4
seek		4
